Id,Title,User,Task,Chart_Type,Interaction,Information_Granularity,Sensory_Modality,Assistive_Technology,Contribution_Type,Perception_Channel,Year,Venue,Keywords,DOI
1,Tactile Presentation of Network Data: Text or Matrix or Diagram?,Blind or Low vision ,Read,Node-link diagram and Matrix diagram,None,Overview and Detail,Tactile graphic,Embosser,Empirical Research,Touch,2020,CHI,Accessibility; Blindness; Vision Impairment; GraphVisualization; Adjacency Matrix,https://doi.org/10.1145/3313831.3376367
2,An automated approach for the recognition of intended messages in grouped bar charts,Blind,Read,Bar chart,None,Overview,Speech,Screen reader,Artifact,Sound,2019,JCI,,https://doi.org/10.1111/coin.12227
3,Comparing User Performance on Parallel-Tone with Parallel-Speech or Serial-Tone and Serial-Speech Auditory Graphs,Visually impaired,Read,Bar chart,None,Overview and Detail (comparison to Overview),Sonification (tone) and Speech,Screen reader and  Sound synthesizer,Empirical Research,Sound,2019,INTERACT,Auditory feedback; Auditory graphs; Human computer interaction; Sonification,https://doi.org/10.1007/978-3-030-29381-9_16
4,RoboGraphics: Dynamic tactile graphics powered by mobile robots,Visually impaired or Blind or Low vision,Read,Bar chart,Navigate,Overview and Detail ,Tactile graphic and Speech,Touch screen tablet; Static tactile objects and Small mobile robots,Artifact,Sound and Touch,2019,ASSETS,Accessibility; Blindness; Education; Robots; Tactile; Tangible User Interfaces,https://doi.org/10.1145/3308561.3353804
5,Sociotechnical Considerations for Accessible Visualization Design,Blind,Read,Line chart,None,Overview and Detail,Tactile graphic and Braille,3D Printer,Methodological,Touch,2019,VIS,Accessibility; Accessibility technologies; Human-centered computing; Visualization; Visualization design and evaluation methods,https://doi.org/10.1109/VISUAL.2019.8933762
6,SVGPlott: An accessible tool to generate highly adaptable or accessible audio-tactile charts for and from blind and visually impaired people,Blind,Create,Bar chart with Line chart and Scatter plot,Visualize,Existence; Overview and Detail,Tactile graphic; Speech and Braille,Screen reader; Keyboard;Audio-tactile device (TTT; IVEO); Braille display (Pin matrix device) and Embosser,Artifact,Sound and Touch,2019,PETRA,Accessible graphics; Audio-tactile charts; Automation tool; Blind and visually impaired people; Data visualization; Effective design; Tactile charts; Data visualization; Graphical user interfaces; Accessible graphics; Audio-tactile charts; Automation tools; Blind and visually impaired; Tactile charts; Graphic methods,https://doi.org/10.1145/3316782.3316793
7,The Comprehension of STEM Graphics via a Multisensory Tablet Electronic Device by Students with Visual Impairments,Visually impaired,Read,Pie chart with Bar chart;Line chart;Map,None,Overview and Detail,Haptic Feedback;Speech;Braille and Tactile graphic,Touch screen tablet and Embosser,Empirical Research,Sound and Touch,2019,JVIB,accessible graphics; multimodal feedback; STEM education; tactile feedback; touchscreens; vibrations,https://doi.org/10.1177/0145482X19876463
8,Visualizing for the Non‐Visual: Enabling the Visually Impaired to Use Visualization,Visually impaired,Read,Bar chart; Line chart;Pie chart,None,Existence and Detail,Speech,Screen reader,Artifact,Sound,2019,EuroVis,,https://doi.org/10.1111/cgf.13686
9,A user study to evaluate tactile charts with blind and visually impaired people ,Visually impaired or Blind ,Create,Bar chart; Line chart; Scatter plot;Pie chart,None,Overview and Detail,Tactile graphic,Embosser,Empirical Research,Touch,2018,ICCHP,Accessibility; Blind and visually impaired users; Effective design; Information graphics; Remote user study; Tactile charts; Tactile graphics; Data visualization; Human rehabilitation equipment; Pattern recognition; Surveys; Accessibility; Blind and visually impaired users; Effective designs; Information graphics; Remote users; Tactile charts; Tactile graphics; Graphic methods,https://doi.org/10.1007/978-3-319-94274-2_24
10,An accessible interaction model for data visualisation in statistics,Blind or Low vision (highlighting or magnification),Create,Statistical chart,Navigate; Visualize,Detail (single component) and Overview (summary and major component),Speech;Tactile graphic and Braille,Screen reader and Keyboard,Artifact,Sound and Touch,2018,ICCHP,Visualization; Bar chart; Blind people; Blind users; Information age; Interaction model; Interactive exploration; Pre-requisites; Statistical software; Data visualization,https://doi.org/10.1007/978-3-319-94277-3_92
11,Effectiveness of tactile scatter plots: Comparison of non-visual data representations,Blind,Read,Scatter plot,None,Overview and Detail (vs Detail),Tactile graphic;Speech and Braille,Embosser and Screen reader,Empirical Research,Touch,2018,ICCHP,Blind people; Tactile graph; Tactile table; Screen reader; Scatter plot,https://doi.org/10.1007/978-3-319-94277-3_97
12,EvoGraphs - A jQuery plugin to create web accessible graphs,Visually impaired,Read,Bar chart and Pie chart,None,Detail and Overview,Speech,Screen reader,Artifact,Sound,2018,CCNC,Application programs; Customizable; Image-based; Plug-ins; Screen readers; Software applications; Visually impaired; Graphic methods,https://doi.org/10.1109/CCNC.2018.8319239
13,Multi modal deep learning using images and text for information graphic classification,Blind or Visually impaired,Read,Line chart,None,Overview,Speech,Screen reader,Artifact,Sound,2018,ASSETS,Assistive technology; Classification.; Deep learning; Information graphic; Multimodal machine learning,https://doi.org/10.1145/3234695.3236357
14,Textures suitable for tactile bar charts on capsule paper. ,Visually impaired,Read,Bar chart,None,Detail,Tactile graphic,Embosser,Empirical Research,Touch,2018,TVRSJ,blind people; tactile bar chart;solid color; dot pattern; capsule paper,https://doi.org/10.18974/tvrsj.23.1_13
15,Analysis of tactile chart design,Blind,Read,Bar chart;Line chart;;Pie chart; Area chart and Scatter plot,None,Overview and Detail,Tactile graphic,Embosser,Survey,Touch,2017,PETRA,Design guidelines; Effective design; Information visualization; Tactile chart design; accessible charts; Tactile graphics; Design; Information systems; Blind people; Design considerations; Design support; Information visualization; Pie chart; Scatter plots; Tactile chart design; accessible charts; Tactile graphics; Graphic methods,https://doi.org/10.1145/3056540.3064955
16,Improve the accessibility of tactile charts,Visually impaired or Blind,Create,Bar chart; Line chart; Pie chart;Stacked Bar chart; Area chart;Scatter plot;Bubble chart and Star plot,None,Existence ;Overview and Detail,Tactile graphic,Embosser,Empirical Research,Touch,2017,INTERACT,Accessibility; Audio-tactile charts; Blind users; Effective design; Survey; Tactile charts; Tactile graphics; User requirements,https://doi.org/10.1007/978-3-319-67744-6_12
17,Towards accessible graphs in HTML-based scientific articles,Blind,Create,Bar chart and Pie chart,None,Detail,Speech,Screen reader,Empirical Research,Sound,2017,CCNC,,https://doi.org/10.1109/CCNC.2017.7983287
18,Development of tactile graph generation web application using R statistics software environment,Blind or Sighted,Create,Scatter plot; Line chart; Bar chart and Pie chart,Visualize,Detail and Overview,Tactile graphic and Braille,Embosser,Artifact,Touch,2016,IEICE,Blind people; R statistical software; Tactile graphs; Tactile legibility; Web accessibility; Graph theory; Graphic methods; World Wide Web; Blind people; Statistical software; Tactile graphs; Tactile legibility; Web accessibility; Application programs,https://doi.org/10.1587/transinf.2015EDP7405
19,Exploring Auditory Graphing Software in the Classroom: The Effect of Auditory Graphs on the Classroom Environment,Visually impaired or Sighted (teachers),Create,Line chart (mathematical),Annotate; Visualize and Navigate,Detail and Overview,Sonification and Speech,Keyboard; Speech synthesis and Sound synthesizer,Empirical Research,Sound,2016,TACCESS,Auditory displays; educational technologies,https://doi.org/10.1145/2994606
20,ASVG − Accessible Scalable Vector Graphics: intention trees to make charts more accessible and usable,Visually impaired or Blind,Read,SVG,Navigate,Detail and Overview,Speech and  Braille,Screen reader; Braille display and Keyboard ,Artifact,Sound and Touch,2015,JAT,Accessibile SVG; Accessibility; Design for all; People with disabilities; Scalable vector graphics; Usability,https://doi.org/10.1108/JAT-10-2015-0027
21,ChartMaster: A tool for interacting with stock market charts using a screen reader,Visually impaired,Read,Line chart,Derive; Filter;Guide and Select,Detail,Speech,Screen reader,Artifact,Sound,2015,ASSETS,Accessibility; Financial literacy; Inclusive design; Multi-modal; Non-visual; Screen reader; Stock market charts; Usability; Visual impairment; Commerce; Design; Finance; Financial markets; Graphic methods; Iterative methods; Transportation; User centered design; Accessibility; Financial literacy; Inclusive design; Multi-modal; Non visuals; Screen readers; Usability; Visual impairment; Investments,https://doi.org/10.1145/2700648.2809862
22,The tactile graphics helper: Providing audio clarification for tactile graphics using machine vision,Visually impaired or Sighted (teachers),Create,Line chart; Bar chart and Map,Select (different parts of a visualization to trigger audio explanation),Existence; Overview and Detail,Speech and Tactile graphic,Camera (image recognition); Voice recognition; Speech synthesis and Embosser,Artifact,Sound and Touch,2015,ASSETS,Assistive devices; Case study; Finger tracking; Machine vision; Mixed-methods; Tactile graphics,https://doi.org/10.1145/2700648.2809868
23,AudioFunctions: Eyes-free exploration of mathematical functions on tablets,Visually impaired,Create,Line chart,Select; Visualize,Detail and Overview,Sonification and Speech,Touch screen tablet,Artifact,Sound,2014,ICCHP,Application programs; Blind people; Experimental evaluation; Hardware tools; Mathematical functions; Software applications; Software solution; Sonifications; Visually impaired students; Functions,https://doi.org/10.1007/978-3-319-08596-8_84
24,Developing a verbal assistance system for line graph comprehension,Low vision (three partially sighted) or Blind,Read,Line chart,None,Overview,Haptic Feedback and Speech,Haptic device,Empirical Research,Touch and Sound,2014,DUXU,Haptic Graph Comprehension; Verbal Assistance; Haptic interfaces; Information retrieval; Visualization; Exploration process; Graph comprehensions; Haptic explorations; Statistical graphs; Verbal Assistance; Visual exploration; Visually impaired; Visually-impaired users; Graph theory,https://doi.org/10.1007/978-3-319-07626-3_34
25,Evaluating the accessibility of line graphs through textual summaries for visually impaired users,Visually impaired,Read,Line chart,None,Overview,Speech,Screen reader,Artifact,Sound,2014,ASSETS,Accessibility; Information graphics; Natural language generation; Visual impairments;Computer graphics; Electronic document exchange; Natural language processing systems; Visual languages; Accessibility; High level knowledge; Information graphics; Informational graphics; Natural language generation; Visual feature; Visual impairment; Visually-impaired users; Graph theory,https://doi.org/10.1145/2661334.2661368
26,Haptics visualisation of scientific data for visually impaired users,Visually impaired,Read,Line chart,Navigate (Zoom),Detail and Overview,Haptic Feedback; Sonification and Speech,Haptic device (PHANTOM); Keyboard (shortcut navigation controls) and Speech synthesis,Artifact,Sound and Touch,2014,ICDVRAT,,
27,Including blind people in computing through access to graphs,Blind or Sighted,Create,Node-link diagram,Visualize;Coordinate and Navigate,Detail,Speech,Screen reader and Keyboard,Artifact,Sound,2014,ASSETS,Accessibility; GSK; Universal design,https://doi.org/10.1145/2661334.2661364
