Assistive Technology,DOI,ID,Title,Guidelines for Developers,Page Nos,Chart Type,Sensory Modality,Descriptions,Paper Reference (Quotes),Information Granularity,Keywords,Contribution Type,Venue,Parents Pertain,Students Pertain,Teachers Pertain,Perception Channel
None,https://doi.org/10.1145/3441852.3471202,#1,Understanding Screen-Reader Users’ Experiences with Online Data Visualizations,Use Alt text and ARIA attributes to make visualization elements discoverable,12,NONE,None,"Because visualization elements are usually not seen by screen readers, this guideline recommends visualization creators to use ARIA attributes to improve the discoverability of the visualization elements.",We recommend developers and visualization creators to adequately provide alternative text and use ARIA attributes to improve the discoverability of the visualization elements.,,None,None,None,,,,
None,https://doi.org/10.1145/3441852.3471202,#2,Understanding Screen-Reader Users’ Experiences with Online Data Visualizations,Use Alt text and data table together to improve users' exploration preferences ,12,NONE,None,Alt text available usually contain summary of the data within the visualization while data tables contain detailed information about the data. It is recommended that both are used to meet users' changing needs about data interpretation ,"Though alternative text can support gaining a holistic overview, it is usually not comprehensive enough to allow understanding the data in detail. In contrast, data tables allow exploration of the data in detail, but adds a mental burden for screen-reader users to process all data and lacks efficient support for gaining a holistic overview. We recommend providing support for both to better support screen-reader users’",,None,None,None,,,,
None,https://doi.org/10.1145/3441852.3471202,#3,Understanding Screen-Reader Users’ Experiences with Online Data Visualizations,Alt text content should contain underlying data for adequate data interpretation,12,NONE,None,"Alt text available is usually not sufficient and it is dependent on developer's contextual understanding of data and limits. This guideline recommends that as with previous study, alt-text are dynamically generated within the context of the underlying data","alternative text is rarely available, and when it is, it is mostly inadequate. Additionally, the quality of the alternative text primarily depends on the developer, which can produce inconsistencies in visualization interaction experiences for screen-reader users from one visualization to another. Therefore, we recommend dynamically generating alternative text as proposed in earlier works.",,None,None,None,,,,
None,https://doi.org/10.1145/3441852.3471202,#4,Understanding Screen-Reader Users’ Experiences with Online Data Visualizations,Multiple sensory channels should be provided for users to reduce exploration time,12,NONE,None,"Screen-readers are usually constrained to one way of interacting with data visualizations e.g. Speech. Sometimes when they encounter complex visualizations it becomes very difficult to access data contexts quickly. This guideline recommends providing screen-readers with multi-modal method (combining speech, haptic, keyboard) of interacting with visualizations","Presenting screen-reader users with multiple modes for exploring visualizations would improve their overall experience with online data visualizations.This is especially true in the case of complex visualizations, which would likely require more exploration time",,None,None,None,,,,
None,https://doi.ieeecomputersociety.org/10.1109/TVCG.2021.3114829,#5,Towards Understanding Sensory Substitution for Accessible Visualization: An Interview Study,The context of shapes and positions of chart should be sustained for data integrity,8,NONE,None,"Because blind-users are already familiar with what an ideal structure of visualizations should be, the paper recommend that the visual construct of the original visualization should be retained. Examples are: (D1) - Horizontal bar charts should be sonified from left to right; 2D visualizations can be sonified in zig-zag, up-down, left-right pattern;Pie charts should be sonified in circular motion starting at 12'O clock; Sonification can be mapped across the characteristics of data;Spatial audios can provide references based on users' body position; Bar and Pie charts can be sonified into individual building blocks e.g axes;","Our findings indicate that blind individuals tend to already be aware of the visual structures used in common charts from lived experience, even if they were born blind. Rather than entirely discarding existing visual structure in favor of new structures based on alternate senses, we recommend focusing on better translation of visual structures such as marks and encoding.",,None,None,None,,,,
None,https://doi.ieeecomputersociety.org/10.1109/TVCG.2021.3114829,#6,Towards Understanding Sensory Substitution for Accessible Visualization: An Interview Study,Multimodal channels should be used for clarity of visual and non-visual data,8,NONE,None,"Screen readers will like visual insights in cases such as Maps, the paper recommends that both speech and non-speech modes are provided to complement visualizations. For example, When a person looks at a map, they may use both sound and touch to get a better understanding of the map. By touching the map, they can feel the different textures of the paper and understand the different elevations and contours of the land. By listening to someone describe the map, they can also understand the map.",D2. Use a combination of sound—speech and non-speech—and touch modalities to translate visual and interactive representations.,,None,None,None,,,,
None,https://doi.ieeecomputersociety.org/10.1109/TVCG.2021.3114829,#7,Towards Understanding Sensory Substitution for Accessible Visualization: An Interview Study,Provide sound and haptic controls to meet different users' exploration pace,8,NONE,None,"Because of the differences in how fast users make meaning out of visualizations, it is important to support their learning pace for meaning making. The paper recommends that Non-visual sensemaking can be enhanced through customization and calibration of modal encoding that will effectively support their graphical perception.","D3:Supporting interaction is more important for non-visual; Allow customization and calibration of modal encoding to effectively support accessible graphical perception.
sensemaking than visual sensemaking.",,None,None,None,,,,
None,https://doi.ieeecomputersociety.org/10.1109/TVCG.2021.3114829,#8,Towards Understanding Sensory Substitution for Accessible Visualization: An Interview Study,Sound feedback to users should specify whether it is data-related and interface-elements related for clarity,8,NONE,None,"Visualization users are provided with too many information that might make them loose focus on data insights. These information are either interface-related or data visualization related. However, This guideline recommends that users are provided with priority based information by distinugishing between interface-related information (communication to users about the interface) and data-related (communication to users about the data).",D4. Clearly distinguish interface-related modal feedback from data-related modal feedback.,,None,None,None,,,,
None,https://doi.ieeecomputersociety.org/10.1109/TVCG.2021.3114829,#9,Towards Understanding Sensory Substitution for Accessible Visualization: An Interview Study,Spatial 2D or 3D dimensions should be provided as speech cues for accurate navigation,9,NONE,None,"Visualizations in 2D and 3D spaces does not clearly convey mapping between spatial dimension (2D or 3D) to the soundscape that give users the actual perspective of the data. This guideline recommends that dimensional spaces be specified for 2D and 3D charts. For example, sounds in a 3D space should be positioned according to their location in the physical world (a sound coming from the left side of the listener should be played from the left)","When using sound, clearly convey mapping between spatial dimension (2D or 3D) to the soundscape.",,None,None,None,,,,
None,https://doi.ieeecomputersociety.org/10.1109/TVCG.2021.3114829,#10,Towards Understanding Sensory Substitution for Accessible Visualization: An Interview Study,Use tactile graphics and haptic feedback when spatial concepts are to be communicated clearly,9,NONE,None,"Blind and visually impaired users understand concepts presented using tactile graphics. This guideline recommends that spatial visualizations are tailored towards using tactile charts in a circuit diagram form.  For example, by touching a diagram of a simple electrical circuit, a blind person can understand how the circuit works.","When possible, use tactile representations and haptic feedback to provide chart overviews. using haptic and audio feedback allows blind and visually impaired individuals to effectively understand geometric and spatial concepts such as circuit diagrams ",,None,None,None,,,,
