APA Citation,DOI,Title,User,Year Published,Study Design,Research Method,Task,Interaction,Further Research Opportunities?,Keywords,Outcome Measures,Study Location,Parents Pertain,Students Pertain,Teachers Pertain,Study Focus
,10.1145/3313831.3376367,"Tactile Presentation of Network Data: Text, Matrix or Diagram?","Blind, Low vision ",2020,,,Read,None,,Accessibility; Blindness; Vision Impairment; GraphVisualization; Adjacency Matrix,,,,,,
,10.1111/coin.12227,An automated approach for the recognition of intended messages in grouped bar charts,Blind,2019,,,Read,None,,,,,,,,
,10.1007/978-3-030-29381-9_16,"Comparing User Performance on Parallel-Tone, Parallel-Speech, Serial-Tone and Serial-Speech Auditory Graphs",Visually impaired,2019,,,Read,None,,Auditory feedback; Auditory graphs; Human computer interaction; Sonification,,,,,,
,10.1145/3308561.3353804,RoboGraphics: Dynamic tactile graphics powered by mobile robots,"Visually impaired, Blind, Low vision",2019,,,Read,Navigate,,Accessibility; Blindness; Education; Robots; Tactile; Tangible User Interfaces,,,,,,
,10.1109/VISUAL.2019.8933762,Sociotechnical Considerations for Accessible Visualization Design,Blind,2019,,,Read,None,,Accessibility; Accessibility technologies; Human-centered computing; Visualization; Visualization design and evaluation methods,,,,,,
,10.1145/3316782.3316793,"SVGPlott: An accessible tool to generate highly adaptable, accessible audio-tactile charts for and from blind and visually impaired people",Blind,2019,,,Create,Visualize,,"Accessible graphics; Audio-tactile charts; Automation tool; Blind and visually impaired people; Data visualization; Effective design; Tactile charts, Data visualization; Graphical user interfaces; Accessible graphics; Audio-tactile charts; Automation tools; Blind and visually impaired; Tactile charts; Graphic methods",,,,,,
,10.1177/0145482X19876463,The Comprehension of STEM Graphics via a Multisensory Tablet Electronic Device by Students with Visual Impairments,Visually impaired,2019,,,Read,None,,accessible graphics; multimodal feedback; STEM education; tactile feedback; touchscreens; vibrations,,,,,,
,10.1111/cgf.13686,Visualizing for the Non‐Visual: Enabling the Visually Impaired to Use Visualization,Visually impaired,2019,,,Read,None,,,,,,,,
,10.1007/978-3-319-94274-2_24,A user study to evaluate tactile charts with blind and visually impaired people,"Visually impaired, Blind ",2018,,,Create,None,,"Accessibility; Blind and visually impaired users; Effective design; Information graphics; Remote user study; Tactile charts; Tactile graphics, Data visualization; Human rehabilitation equipment; Pattern recognition; Surveys; Accessibility; Blind and visually impaired users; Effective designs; Information graphics; Remote users; Tactile charts; Tactile graphics; Graphic methods",,,,,,
,10.1007/978-3-319-94277-3_92,An accessible interaction model for data visualisation in statistics,"Blind, Low vision (highlighting, magnification)",2018,,,Create,"Navigate, Visualize",,Visualization; Bar chart; Blind people; Blind users; Information age; Interaction model; Interactive exploration; Pre-requisites; Statistical software; Data visualization,,,,,,
