Column Name,Filter Label,Explanation,Role,Type,UI Control,Searchable,Display in Table,Display in Popup
ID,,,,STRING,NONE,NO,NO,YES
Guidelines,,,TITLE,STRING,NONE,YES,YES,YES
Descriptions,,,,STRING,NONE,YES,NO,YES
Paper Title,,,,STRING,NONE,YES,YES,YES
Page Nos,,,,NUMBER,SLIDER,NO,YES,NO
DOI,,,DOI,STRING,NONE,NO,NO,NO
Quotes from Paper,,,QUOTES,STRING,NONE,YES,NO,YES
Paper Reference Page(s),,,,NUMBER,NONE,NO,NO,YES
Chart Type,,,,LIST,MULTIOPTION,NO,NO,NO
Sensory Modality,,,,LIST,MULTIOPTION,NO,NO,NO
Contribution Type,,,,LIST,MULTIOPTION,NO,NO,NO
Venue,,,,LIST,MULTIOPTION,NO,NO,NO
Perception Channel,,,,LIST,MULTIOPTION,NO,NO,NO
Parents Pertain,,,,BOOLEAN,NONE,NO,NO,NO
Students Pertain,,,,BOOLEAN,NONE,NO,NO,NO
Teachers Pertain,,,,BOOLEAN,NONE,NO,NO,NO
Assistive Technology,,,,STRING,NONE,NO,NO,NO
Keywords,,,,LIST,NONE,NO,NO,NO
SD category,,,,STRING,NONE,NO,NO,NO
SD count,,,,NUMBER,NONE,NO,NO,NO
RM category,,,,STRING,NONE,NO,NO,NO
RM count,,,,NUMBER,NONE,NO,NO,NO
OM category,,,,STRING,NONE,NO,NO,NO
OM count,,,,NUMBER,NONE,NO,NO,NO
