APA Citation,DOI,Title,Author,Year Published,Study Design,Research Method,Summary/Notes,Implications,Further Research Opportunities?,Keywords,Outcome Measures,Study Location,Parents Pertain,Students Pertain,Teachers Pertain,Study Focus
"Abbott-Garner, Philip, Richardson, Janet, & Jones, Ray B. (2019). The Impact of Superfast Broadband, Tailored Booklets for Households, and Discussions With General Practitioners on Personal Electronic Health Readiness: Cluster Factorial Quasi-Randomized Control Trial. Journal of Medical Internet Research, 21(3), e11386–e11386. https://doi.org/10.2196/11386",10.2196/11386,"The Impact of Superfast Broadband, Tailored Booklets for Households, and Discussions With General Practitioners on Personal Electronic Health Readiness: Cluster Factorial Quasi-Randomized Control Trial.","Abbott-Garner, Philip, Richardson, Janet, & Jones, Ray B",2019,Quasi-experimental,Quasi-randomized controlled,"With government support in implementing high-speed broadband, the research team examined three different types of intervention concerning internet usage and broadband impact: ""(1) regional-level implementation of Superfast, (2) practice-level discussions with general practitioners to encourage greater internet use in health service provision, and (3) household-level tailored booklets providing information to help improve personal skills in eHealth.""

The results show that the availability of high-speed internet can help improve users' readiness to use e-health services. However, the other two interventions did not strongly influence the users' readiness. ","High speed internet could potentially increase health related welfare. But, it also has to do with if the service provider need high speed internet to provide their service. Simply providing high speed internet has limited effect in increasing people's usage of eHealth. Also, under some situations, need to consider if the users have the skills to use internet service (particularly elderlys and low-income households).",A longitudinal monitoring and measurement of e-health service readinees or general internet usage may bring insights of the broadband impact.,"Ehealth, Randomized controlled trial, Digital divide, Broadband, Ehealth readiness, Ehealth inequalities, Tailored booklet, Cluster trial, Increase, Service provider, Internet, Implementation","Broadband availability and impact, Digital resources, Digital divide, Health",UK,,,,
"Aguilar, Stephen J. (2020). Guidelines and tools for promoting digital equity. Information and Learning Science, 121(5/6), 285–299. https://doi.org/10.1108/ILS-04-2020-0084",10.1108/ILS-04-2020-0084,Guidelines and tools for promoting digital equity.,"Aguilar, Stephen J",2020,Conceptual,Theory adaption,"Grounded on the theoretical framework of the Capabilities Approach (Martha Nussbaum's; ""freedom as a means to achieve well-being, and argues for individuals to act in a manner that fosters other individuals' capabilities""), the author reviewed literature and provided two instruments to help educators to understand digital divide in their local community better. 
 
The ""Digital Equity Gap Interview Protocol"" is a qualitative instrument consisting of a series of questions an interviewer can ask an individual.

The ""Digital Equity Gap Survey"" is a quantitative survey instrument.",Two potential digital divide measurment instruments,N/A,"Education, Student, Online, School, Equity, Internet, K12, Digital, Information, Informal, Survey, Learning technologies","Digital divide, Digital literacy and skill",US,,Check,,Students
"Anderson, Ben. (2008). The Social Impact of Broadband Household Internet Access. Information, Communication & Society, 11(1), 5–24. https://doi.org/10.1080/13691180701858810",10.1080/13691180701858810,The Social Impact of Broadband Household Internet Access.,"Anderson, Ben",2008,Longitudinal,Secondary analysis,"Using two waves of European panel study (e-living) and the lagged endogenous regression approach, the author examined the effect of having broadband on various related activities. The results showed that switching to broadband significantly increased time spent online, breadth of online activities, and reduced time spent watching TV. However, users' previous online activities and time substantially affect their current online time spending than switching to high-speed broadband.","This study focused on people who had access to low-speed internet, then gained access to high-speed. These people are also early adopters who had internet in 2002. The effect of high-speed broadband may have changed since then.",New longitudinal studies of broadband implementation and effect can provide new insight.,"Broadband, Internet, Social, Online, Household","Digital and technology usage, Broadband availability and impact","UK,  Germany,  Israel,  Norway,  Italy,  Bulgaria",,,,
"Ante KOLAK, Ivan MARKIĆ, Zoran HORVAT, Marta KLEMENČIĆ, & Mara STOJANAC. (2021). When the Parent Becomes the Teacher - Attitudes on Distance Learning in the Time of Corona-Teaching from Parents’ Perspective. TOJET the Turkish Online Journal of Educational Technology, 20(1).",None,When the Parent Becomes the Teacher - Attitudes on Distance Learning in the Time of Corona-Teaching from Parents’ Perspective.,"Ante KOLAK, Ivan MARKIĆ, Zoran HORVAT, Marta KLEMENČIĆ, & Mara STOJANAC",2021,Descriptive,"Mixed method, Survey, Interview","This study examines three factors on students' (1-4 grade) distance learning outcomes: 1. student independence, 2. students' spatial-material-technical learning conditions, 3. cooperative relationship between parents and teachers.

The results show that after switching to distance learning during the pandemic era, most parents were satisfied with teaching quality, homework arrangement, and feedback communication. Parents' gender, age, and education are related to their attitude and expectations on students' distance learning. Parents with lower educational status tend to define their children as more independent than parents of higher educational status do. Mothers tend to be more content with the teaching quality. Young parents tend to consider their students to have lower competencies, but older parents tend to have more technical problems relating to distance learning. ","Parents' gender, age, and education are significant factors of their attitude on students' learning, technology, and education.",Qualitative studies can help further understand parents' experience supporting students' education during the pandemic era.,"Teacher, Parent, School, Education, Distance learning, Attitude, Pupil","Student achievement and performance, Parents' attitude and perception",Croatia,Check,,Check,"Parents, Teachers"
"Ashmore, Fiona H, Farrington, John H, & Skerratt, Sarah. (2015). Superfast Broadband and Rural Community Resilience: Examining the Rural Need for Speed. Scottish Geographical Journal, 131(3-4), 265–278. https://doi.org/10.1080/14702541.2014.978808",10.1080/14702541.2014.978808,Superfast Broadband and Rural Community Resilience: Examining the Rural Need for Speed.,"Ashmore, Fiona H, Farrington, John H, & Skerratt, Sarah",2015,Exploratory,Interview,"Mainly concerning the framework of resilience (in the lens of facing trauma, lack of resources, and how to respond, etc.), this study explores models of implementing high-speed internet in rural areas and the impact of broadband on residents.

As a result, the lack of the Internet made the communities feel inferior and unable to engage with a broader society. The availability of high-speed broadband increased users' online video watching time. It also potentially increased users' self-agency and thus increased social connections, education opportunities, personal well-being, and empowerment.","The implementation of high-speed broadband can empower individuals and the local community, including various aspects such as education, business, and self-agency.",Further research concerns the validation and deeper understanding of individual resilience and the relationship between the individual and the community under the influence of having high-speed broadband.,"Broadband, Rural, Resilient, Access, Accessibility, Individuality, Uk, Superfast broadband, Community resilience, Policy, Corollaries, Internet, Digital","Broadband availability and impact, Community impact, Digital and technology usage",UK,,,,
"Ashmore, Fiona H, Farrington, John H, & Skerratt, Sarah. (2017). Community-led broadband in rural digital infrastructure development: Implications for resilience. Journal of Rural Studies, 54, 408–425. https://doi.org/10.1016/j.jrurstud.2016.09.004",10.1016/j.jrurstud.2016.09.004,Community-led broadband in rural digital infrastructure development: Implications for resilience.,"Ashmore, Fiona H, Farrington, John H, & Skerratt, Sarah",2017,Exploratory,Interview,"The study explores how a community-led broadband initiative brings resources to the local community, increases residents' sense of community, and increases self-agency. 

In this case, local leaders help residents implement broadband, develop business plans, and support general technical problems. Although community broadband has an overall positive effect, the existence of leaders may cause new inequality and a resource gap. ","Broadband can enhance the condition of a local community, but nuanced elements may alter the results or cause potential problems.","This study is not generalizable, so future research shall seek to apply the resilience theory in a wider rural area.","Broadband, Resilience, Local, Rural, Social, Development, Community, Increase, Belonging, Digital, Participation, Individuals","Broadband availability and impact, Community impact, Digital and technology usage",UK,,,,
"Asongu, Simplice A, & Odhiambo, Nicholas M. (2019). How enhancing information and communication technology has affected inequality in Africa for sustainable development: An empirical investigation. Sustainable Development, 27(4), 647–656. https://doi.org/10.1002/sd.1929",10.1002/sd.1929,How enhancing information and communication technology has affected inequality in Africa for sustainable development: An empirical investigation.,"Asongu, Simplice A, & Odhiambo, Nicholas M",2019,Experimental,"Secondary analysis, Generalised method of moments","This study uses several social inequality indicators such as the Gini coefficient (distribution of income across a population), Atkinson index (a measure of income inequality), Palma ratio (Income inequality metrics) to examine 48 countries in Africa with annual data for the periods 2004–2014 in determining how the availability broadband have reduced social inequality. 

The results show that ""enhancing internet penetration and fixed broadband subscriptions has a net effect on reducing the Gini coefficient and the Atkinson index, whereas increasing mobile phone penetration and internet penetration reduces the Palma ratio.""","Using Gini coefficient, Atikinson index, and Palma ratio is a creative way of measuring general social inequality with a broadband topic.",N/A,"Inequality, Development, , Africa, Ict, Inclusive development, Sustainable development, Mobile, Financial",Social inequality,Africa,,,,
"Ball, Annahita, & Skrzypek, Candra. (2019). Closing the Broadband Gap: A Technology-Based Student and Family Engagement Program. Children & Schools, 41(4), 229–237. https://doi.org/10.1093/cs/cdz015",10.1093/cs/cdz015,Closing the Broadband Gap: A Technology-Based Student and Family Engagement Program,"Ball, Annahita, & Skrzypek, Candra",2019,Quasi-experimental,"Mixed method, Survey, Interview, Quasi-randomized controlled","The study examines the effect of a technology-based intervention (1:1 program) designed to improve student and family engagement at school. The students were from Grade 4 and 5 students that 86% of whom were African Americans.

Survey scales measured students' perceptions of self-monitoring, self-evaluation, sense of belonging, interest in learning, academic motivation, parents' reflections on perceived school support, and overall perceptions of school.

Overall, the computing program had a NEGATIVE effect on engagement and academic motivation, but students indicated that it was easier to do homework and communicate with teachers. Also, students reported that their parents were more involved with what they were learning at school. Parents reported feeling more connected/engaged with their child's work at school but not with the school itself.","Technology-based programs sometimes may cause more harm than goods in some aspects. However, some other measures may help control the negative effects.",Further research can explore teachers' specific uses to facilitate parents' engagement.,"School, Student, Engagement, Parental, Teachers, Learning, Technology interventions, Engagement","Parents' engagement, Student achievement and performance, Access to digital device",US,Check,Check,Check,"Parents, Students, Teachers"
"Bates, K., Malakoff, L., & Kane, S. (2012). Closing the Digital Divide: Promoting Broadband Adoption Among Underserved Populations [White paper]. ICF International. https://portofclarkston.com/wp-content/uploads/2020/11/Benefits-of-Broadband.pdf.",None,Closing the Digital Divide: Promoting Broadband Adoption Among Underserved Populations.,"Bates, K., Malakoff, L., & Kane, S.",2012,White paper,N/A,"This paper outlines general challenges of broadband access, affordability, and utility as they relate to Internet availability. Access is felt most strongly by rural and low-income communities. Certain services such as distance learning are not supported by low speeds. Affordability is a major concern as well. Many households weigh the benefit of high speed Internet with the cost associated. Often, the cost is diverted to other home necessities

This paper also summarizes the FCC E-Rate Program -- an $18 billion commitment to granting Internet access to schools, libraries, other CAIs State Efforts:
e-Vermont Community Broadband Project -- a community initiative targeting rural citizens and encouraging tactics in digital literacy. Also focused on equipping teachers to integrate technology in the classroom.","The digital divide is multifaceted. Many factors contribute to the difficulty of closing the digital gap, such as market, government, attitudes, local context, etc.",There are opportunities to look deeper into other state initiatives.,"Broadband, Community, Service, Adoption, Local, City, Technology, Development, Broadband, Internet",Policy implications,US,,,,
"Baumgartner, Antonia, Rohrbach, Tobias, & Schönhagen, Philomen. (n.d.). (2021). 'If the phone were broken, I'd be screwed': media use of people with disabilities in the digital era. Disability & Society, ahead-of-print(ahead-of-print), 1–25. https://doi.org/10.1080/09687599.2021.1916884",10.1080/09687599.2021.1916884,"‘If the Phone Were Broken, I’d Be Screwed’ Media Use of People With Disabilities in the Digital Era","Baumgartner, Antonia, Rohrbach, Tobias, & Schönhagen, Philomen",2021,Descriptive,Interview,"This paper draws on qualitative Interview with people with visual or motoric impairments to provide an in-depth analysis of their everyday experiences relating to barriers and benefits of digital media. The findings reproduce previously identified barriers and extend these by adding novel sub-aspects of individual cognitive and attitudinal barriers like non-use of digital media due to their (perceived) complexity and a feeling of greater dependence on digital technology. However, the results also shed light on highly individualized ways that people with disabilities actively make use of digital media to improve their daily life. Despite persisting and new barriers, the general findings suggest that, with the appropriate training and support, digital media are largely beneficial.","Media use with complementary intervention can improve life quality for those with a disability. Moreover, even just the availability of broadband, technology can be personalized to improve subtle ways of people's daily lives.",Future research can look into more detailed attitudinal barriers preventing people (especially people with disability) from using technology. It is also essential to include people with other disabilities to serve better and help them.,"Disability, Accessibility, Impairment, Media use, Barrier, Digital, Digitalizatio","Access to digital device, Digital and technology usage, Social inequality",UK,,,,
