Column Name,Filter Label,Explanation,Role,Type,UI Control,Searchable,Display in Table,Display in Popup
Title,,,TITLE,STRING,NONE,YES,YES,YES
User,,,,STRING,MULTIOPTION,YES,YES,YES
Task,,,,STRING,NONE,YES,NO,NO
Chart Type,,,,STRING,MULTIOPTION,YES,NO,NO
Interaction,,,,STRING,NONE,YES,NO,NO
Information Granularity,,,,STRING,NONE,YES,NO,NO
Sensory Modality,,,,STRING,MULTIOPTION,YES,NO,NO
Assistive Technology,,,,STRING,NONE,YES,NO,NO
Contribution Type,,,,STRING,MULTIOPTION,YES,NO,NO
Perception Channel,,,,STRING,NONE,YES,NO,NO
Year Published,,,,NUMBER,SLIDER,NO,YES,YES
Venue,,,,STRING,MULTIOPTION,YES,YES,YES
Keywords,,,,LIST,NONE,YES,NO,YES
DOI,,,DOI,STRING,NONE,NO,NO,YES
